Source;Target;Weight
Lizhu Zhou;Juanzi Li;1.313800
Lizhu Zhou;Jie Tang;0.414200
George Panagopoulos;Christos Faloutsos;1.000000
Fumei Lam;Russell Schwartz;0.300000
Fumei Lam;Srinath Sridhar;0.966600
Fumei Lam;Guy E. Blelloch;0.300000
Fumei Lam;R. Ravi;0.300000
Fumei Lam;Sorin Istrail;0.666600
Fumei Lam;Dan Gusfield;1.333200
Robert F. Murphy;Ziv Bar-Joseph;0.999900
Robert F. Murphy;Geoffrey J. Gordon;0.999800
Robert F. Murphy;Christos Faloutsos;1.000000
Naveen Garg;Shiva Chaudhuri;0.333300
Naveen Garg;Vijay V. Vazirani;3.733000
Naveen Garg;Stefano Leonardi;0.833200
Naveen Garg;Mihalis Yannakakis;1.999800
Naveen Garg;Chaitanya Swamy;0.333300
Naveen Garg;S. Anand 0002;0.666600
Naveen Garg;Huzur Saran;0.666600
Naveen Garg;Marina Papatriantafilou;0.666600
Naveen Garg;Yefim Dinitz;0.666600
Naveen Garg;Amit Kumar;4.333100
Naveen Garg;Jochen Könemann;2.366600
Naveen Garg;Goran Konjevod;0.733200
Naveen Garg;Vinayaka Pandit;1.033000
Naveen Garg;Michel X. Goemans;0.666600
Naveen Garg;Philippas Tsigas;0.666600
Naveen Garg;V. N. Muralidhara;0.499900
Naveen Garg;Santosh Vempala;0.333300
Naveen Garg;R. Ravi;1.266500
Christian Scheideler;Baruch Awerbuch;12.833200
Christian Scheideler;Robert D. Kleinberg;1.000000
Christian Scheideler;Shlomi Dolev;1.000000
Christian Scheideler;Micah Adler;2.000000
Christian Scheideler;Andréa W. Richa;3.065800
Christian Scheideler;Uriel Feige;2.000000
Christian Scheideler;Rajmohan Rajaraman;0.333300
Fernando C. N. Pereira;Lillian Lee;1.999800
Fernando C. N. Pereira;Andrew McCallum;1.499800
Fernando C. N. Pereira;Ido Dagan;1.666500
Fernando C. N. Pereira;Naftali Tishby;0.666600
Euripides G. M. Petrakis;Christos Faloutsos;1.333300
Euripides G. M. Petrakis;King-Ip Lin;0.333300
Daniel P. Lopresti;Andrew Tomkins;2.166600
Daniel P. Lopresti;Gordon T. Wilfong;4.266600
Daniel P. Lopresti;Jeffrey Scott Vitter;0.666600
Daniel P. Lopresti;Ibrahim Kamel;0.333300
Daniel P. Lopresti;Richard J. Lipton;1.000000
Mihai Pop;S. Rao Kosaraju;1.333300
Mihai Pop;Alok Aggarwal;0.333300
Alex Roper;Daniel Golovin;0.333300
Alex Roper;Andreas Krause;0.333300
Zvi Galil;Nimrod Megiddo;2.000000
Zvi Galil;Kurt Mehlhorn;2.000000
Zvi Galil;Éva Tardos;1.000000
Zvi Galil;Baruch Schieber;1.100000
Zvi Galil;Giuseppe F. Italiano;5.999400
Zvi Galil;Noga Alon;1.499800
Zvi Galil;Ravi Kannan;0.666600
Zvi Galil;Arnold L. Rosenberg;0.666600
Zvi Galil;Yuval Rabani;1.000000
Zvi Galil;Harold N. Gabow;1.499800
Zvi Galil;Silvio Micali;0.666600
Satish Ukkusuri;Elliot Anshelevich;1.000000
Michael Merritt;Eli Gafni;0.566500
Michael Merritt;Phillip B. Gibbons;1.333300
Michael Merritt;Haim Kaplan;0.300000
Michael Merritt;Marios Mavronicolas;0.666600
Michael Merritt;Alan Fekete;0.766400
Michael Merritt;David B. Shmoys;0.666600
Michael Merritt;Michael K. Reiter;0.333200
Michael Merritt;David S. Greenberg;0.333200
Michael Merritt;Richard A. DeMillo;0.666600
Michael Merritt;Gadi Taubenfeld;11.199400
Michael Merritt;Michael J. Fischer;1.999900
Michael Merritt;Steven Fortune;1.000000
Michael Merritt;Nancy A. Lynch;4.599500
Michael Merritt;Dahlia Malkhi;1.333100
Michael Merritt;William E. Weihl;0.933000
Po-Shen Loh;Eyal Lubetzky;1.000000
Po-Shen Loh;Benny Sudakov;5.766500
Po-Shen Loh;Michael Krivelevich;0.766600
Po-Shen Loh;Leonard J. Schulman;1.000000
Po-Shen Loh;Alan M. Frieze;0.433300
Wayne Fairey;Hakan Yildiz;0.333300
Wayne Fairey;R. Ravi;0.333300
Rahul Sami;Joan Feigenbaum;2.432600
Rahul Sami;Christos H. Papadimitriou;0.333200
Rahul Sami;Vahab S. Mirrokni;0.333200
Rahul Sami;Scott Shenker;1.766200
Rahul Sami;Aviv Zohar;0.333300
Rahul Sami;Evdokia Nikolova;1.166600
Rahul Sami;David R. Karger;0.499800
Rahul Sami;Michael Schapira;0.333300
Rahul Sami;Lance Fortnow;1.368900
Margaret Lepley;Gary L. Miller;0.333200
Margaret Lepley;Frank Thomson Leighton;0.333200
Margaret Lepley;Daniel J. Kleitman;0.333200
Martin Zinkevich;Jeffrey C. Jackson;0.333200
Martin Zinkevich;Tuomas Sandholm;1.333100
Martin Zinkevich;Avrim Blum;1.333100
Martin Zinkevich;John Langford;0.666600
Navodit Misra;Russell Schwartz;0.666400
Navodit Misra;Guy E. Blelloch;0.666400
Navodit Misra;R. Ravi;0.666400
David Wolfe;Mor Harchol-Balter;1.000000
David Wolfe;Christos H. Papadimitriou;2.000000
Todd A. Gibson;Debra Goldberg;3.000000
Leslie Ann Goldberg;Mike Paterson;3.865800
Leslie Ann Goldberg;Frank Thomson Leighton;0.333200
Leslie Ann Goldberg;Sampath Kannan;0.333200
Leslie Ann Goldberg;Marek Karpinski;0.666600
Leslie Ann Goldberg;Paul W. Goldberg;5.265200
Leslie Ann Goldberg;Gregory B. Sorkin;0.333200
Leslie Ann Goldberg;Aravind Srinivasan;0.499800
Leslie Ann Goldberg;Catherine S. Greenhill;0.633200
Leslie Ann Goldberg;Mark Jerrum;28.560400
Leslie Ann Goldberg;Satish Rao;0.999800
Leslie Ann Goldberg;Prasad Chebolu;1.666500
Leslie Ann Goldberg;Martin E. Dyer;7.260700
Andrea Campagna;Alan Guo;0.333300
Andrea Campagna;Ronitt Rubinfeld;0.333300
Yan Huang;Jie Tang;0.314000
Yan Huang;Ruoming Jin;0.833200
Yan Huang;Ninghan Zheng;0.314000
Yan Huang;Zhimin Gu;0.314000
Sergio Rajsbaum;Eli Gafni;4.033100
Sergio Rajsbaum;Roy Friedman;0.499800
Sergio Rajsbaum;Idit Keidar;4.000000
Sergio Rajsbaum;Maurice Herlihy;13.666400
Sergio Rajsbaum;Roberto De Prisco;1.000000
Sergio Rajsbaum;Amir Herzberg;0.666600
Sergio Rajsbaum;Yoram Moses;2.000000
Sergio Rajsbaum;Armando Castañeda;5.499800
Sergio Rajsbaum;Yefim Dinitz;1.333200
Sergio Rajsbaum;Shlomi Dolev;2.666600
Sergio Rajsbaum;Shlomo Moran;1.333200
Sergio Rajsbaum;Nancy A. Lynch;2.366600
Sergio Rajsbaum;Mark R. Tuttle;1.333200
Sergio Rajsbaum;Hagit Attiya;3.666600
Raphael Chan;Christos Faloutsos;1.000000
Jochen Könemann;Mauro Sozio;0.333200
Jochen Könemann;Lisa Fleischer;0.333200
Jochen Könemann;Naveen Garg;2.366600
Jochen Könemann;Alessandro Panconesi;0.999800
Jochen Könemann;Ojas Parekh;1.666300
Jochen Könemann;Kedar Dhamdhere;0.333200
Jochen Könemann;Danny Segev;0.666600
Jochen Könemann;Stefano Leonardi;1.766100
Jochen Könemann;Amitabh Sinha;1.866200
Jochen Könemann;Fabrizio Grandoni;0.999800
Jochen Könemann;Joseph Naor;0.333200
Jochen Könemann;Goran Konjevod;0.333200
Jochen Könemann;Asaf Levin;0.666600
Jochen Könemann;Martin Pál;0.333200
Jochen Könemann;R. Ravi;5.300000
Jochen Könemann;Nikhil Bansal;0.533200
Jochen Könemann;Guido Schäfer;1.099700
Jochen Könemann;Deeparnab Chakrabarty;1.333200
Neha Bhatia;Amit Kumar;1.333300
Neha Bhatia;Manjot Kaur;0.333300
Dino Schweitzer;David Gibson;0.333300
Dino Schweitzer;Michael Collins;0.333300
Neil J. Calkin;Ludek Kucera;0.333300
Neil J. Calkin;Brendan D. McKay;0.333300
Neil J. Calkin;Peter Dankelmann;1.000000
Neil J. Calkin;Alan M. Frieze;1.666600
Stavros S. Cosmadakis;Paris C. Kanellakis;7.666400
Stavros S. Cosmadakis;Foto N. Afrati;2.266500
Stavros S. Cosmadakis;Moshe Y. Vardi;0.833200
Stavros S. Cosmadakis;Sandeep N. Bhatt;1.000000
Stavros S. Cosmadakis;Albert R. Meyer;0.333300
Stavros S. Cosmadakis;Christos H. Papadimitriou;3.266600
Stavros S. Cosmadakis;Mihalis Yannakakis;0.833200
Ran Canetti;Eyal Kushilevitz;1.433100
Ran Canetti;Silvio Micali;0.333200
Ran Canetti;Amit Sahai;0.433200
Ran Canetti;Ling Cheung;0.609400
Ran Canetti;Amir Herzberg;1.666600
Ran Canetti;Susan Hohenberger;2.000000
Ran Canetti;Dawn Xiaodong Song;0.333200
Ran Canetti;Guy Even;0.333300
Ran Canetti;Dilsun Kirli Kaynar;0.442800
Ran Canetti;Moni Naor;0.399800
Ran Canetti;Oded Goldreich;4.832900
Ran Canetti;Olivier Pereira;0.609400
Ran Canetti;Rafail Ostrovsky;1.833000
Ran Canetti;Stefan Dziembowski;0.300000
Ran Canetti;Michael Ben-Or;0.333300
Ran Canetti;Nancy A. Lynch;0.609400
Ran Canetti;Sandy Irani;2.000000
Ran Canetti;Joe Kilian;0.666400
Dimitris Achlioptas;Bernhard Schölkopf;0.333300
Dimitris Achlioptas;Paul Beame;0.999900
Dimitris Achlioptas;Michael Molloy;1.333300
Dimitris Achlioptas;Michael Krivelevich;0.333200
Dimitris Achlioptas;Amin Coja-Oghlan;1.333300
Dimitris Achlioptas;David Kempe;0.499800
Dimitris Achlioptas;Stefano Leonardi;1.000000
Dimitris Achlioptas;Aaron Clauset;0.499800
Dimitris Achlioptas;Frank McSherry;3.499900
Dimitris Achlioptas;Cristopher Moore;5.666300
Dimitris Achlioptas;Vladlen Koltun;1.000000
Rajeev Motwani;Sanjeev Arora;0.300000
Rajeev Motwani;Amotz Bar-Noy;0.666600
Rajeev Motwani;Prasad Chalasani;1.000000
Rajeev Motwani;Adam Meyerson;0.300000
Rajeev Motwani;Sanjeev Khanna;2.366400
Rajeev Motwani;Leonidas J. Guibas;0.966600
Rajeev Motwani;Ramesh Govindan;0.499800
Rajeev Motwani;Serge Abiteboul;0.714200
Rajeev Motwani;Jeffrey D. Ullman;1.052100
Rajeev Motwani;Jean-Claude Latombe;2.175700
Rajeev Motwani;Bahman Bahmani;0.333300
Rajeev Motwani;Sudipto Guha;0.366600
Rajeev Motwani;An Zhu;2.047100
Rajeev Motwani;Mayank Bawa;0.333200
Rajeev Motwani;Joseph Naor;1.666500
Rajeev Motwani;Yossi Azar;0.333300
Rajeev Motwani;Rina Panigrahy;2.849600
Rajeev Motwani;Chandra Chekuri;3.566200
Rajeev Motwani;Umesh V. Vazirani;0.499800
Rajeev Motwani;Boris Pittel;0.666600
Rajeev Motwani;Moses Charikar;0.999700
Rajeev Motwani;Piotr Indyk;3.237500
Rajeev Motwani;Aranyak Mehta;0.333300
Rajeev Motwani;Sergei Vassilvitskii;1.000000
Rajeev Motwani;Ashish Goel;0.833100
Rajeev Motwani;Clifford Stein;0.333200
Rajeev Motwani;Hector Garcia-Molina;0.633200
Rajeev Motwani;Gurmeet Singh Manku;2.000000
Rajeev Motwani;Prabhakar Raghavan;6.066100
Rajeev Motwani;Steven J. Phillips;0.333300
Rajeev Motwani;Lydia E. Kavraki;0.709200
Rajeev Motwani;Huzur Saran;1.333200
Rajeev Motwani;Moni Naor;0.666600
Rajeev Motwani;David R. Karger;2.666500
Rajeev Motwani;Nina Mishra;1.633200
Rajeev Motwani;Richard M. Karp;0.333300
Rajeev Motwani;Madhu Sudan;2.799700
Rajeev Motwani;Monika Rauch Henzinger;0.666600
Norman M. Delisle;Henri B. Weinberg;0.333300
Norman M. Delisle;Nancy A. Lynch;0.333300
Silvio Lattanzi;Alessandro Panconesi;2.333000
Silvio Lattanzi;Flavio Chierichetti;1.999700
Silvio Lattanzi;Sergei Vassilvitskii;0.333200
Silvio Lattanzi;D. Sivakumar;1.333300
Silvio Lattanzi;Prabhakar Raghavan;0.499900
Silvio Lattanzi;Ravi Kumar;0.666500
Ivan Hal Sudborough;Fillia Makedon;2.666500
Ivan Hal Sudborough;Christos H. Papadimitriou;0.333300
Ivan Hal Sudborough;Arnold L. Rosenberg;1.000000
Santosh Vempala;Hisao Tamaki;0.333200
Santosh Vempala;Elena Grigorescu;0.599900
Santosh Vempala;Baruch Awerbuch;0.333200
Santosh Vempala;Naveen Garg;0.333300
Santosh Vempala;Adrian Vetta;2.333100
Santosh Vempala;Alan M. Frieze;1.866400
Santosh Vempala;Prasad Chalasani;0.499900
Santosh Vempala;Noga Alon;1.000000
Santosh Vempala;Juan Vera;0.666600
Santosh Vempala;Prabhakar Raghavan;0.499800
Santosh Vempala;Claudson F. Bornstein;2.000000
Santosh Vempala;Christos H. Papadimitriou;2.333200
Santosh Vempala;John Dunagan;5.000000
Santosh Vempala;Mihalis Yannakakis;1.000000
Santosh Vempala;Joseph Cheriyan;1.999900
Santosh Vempala;Avrim Blum;3.266000
Santosh Vempala;Dimitris Bertsimas;2.047600
Santosh Vempala;Yossi Azar;0.333200
Santosh Vempala;Adam Kalai;3.000000
Santosh Vempala;Adam Tauman Kalai;2.000000
Santosh Vempala;Goran Konjevod;0.333200
Santosh Vempala;Ravindran Kannan;0.999900
Santosh Vempala;Eric Vigoda;1.733100
Santosh Vempala;R. Ravi;0.999800
Santosh Vempala;Ravi Kannan;5.032800
Santosh Vempala;Maria-Florina Balcan;1.099900
Varun Kanade;Brent Bryan;0.333300
Varun Kanade;Pranjal Awasthi;1.000000
Varun Kanade;Adam Kalai;1.166600
Varun Kanade;Yishay Mansour;0.666600
Varun Kanade;H. Brendan McMahan;0.333300
Varun Kanade;Adam Tauman Kalai;0.833200
Amit Sasturkar;Anirban Dasgupta;0.333300
Amit Sasturkar;Ravi Kumar;0.333300
Reut Levi;Dana Ron;2.833100
Reut Levi;Piotr Indyk;0.666600
Reut Levi;Ronitt Rubinfeld;2.499700
Frits W. Vaandrager;Ling Cheung;0.666500
Frits W. Vaandrager;Roberto Segala;1.999600
Frits W. Vaandrager;Nancy A. Lynch;6.999600
Michael D. Graham;Amit Kumar;1.000000
Henrik Ejersbo Jensen;Nancy A. Lynch;1.000000
Larry A. Wasserman;Katrina Ligett;0.333300
Larry A. Wasserman;Shuheng Zhou;1.999800
Benjamin Taskar;Daphne Koller;2.766200
Benjamin Taskar;Carlos Guestrin;0.499900
Benjamin Taskar;Pieter Abbeel;0.499900
Pangfeng Liu;Frank Thomson Leighton;0.333200
Pangfeng Liu;William Aiello;0.666600
Pangfeng Liu;David S. Greenberg;0.333200
Pangfeng Liu;Sandeep N. Bhatt;3.099800
Jeffrey D. Ullman;Kenneth Steiglitz;0.333300
Jeffrey D. Ullman;Catriel Beeri;1.066400
Jeffrey D. Ullman;Raghu Ramakrishnan;1.833000
Jeffrey D. Ullman;David Peleg;2.000000
Jeffrey D. Ullman;Mayank Bawa;0.333300
Jeffrey D. Ullman;Hector Garcia-Molina;1.578100
Jeffrey D. Ullman;Ronald L. Graham;0.433300
Jeffrey D. Ullman;Christos H. Papadimitriou;2.133200
Jeffrey D. Ullman;Anna R. Karlin;0.333300
Jeffrey D. Ullman;Yehoshua Sagiv;3.748900
Jeffrey D. Ullman;Abraham Silberschatz;0.333300
Jeffrey D. Ullman;Harry B. Hunt III;1.666400
Jeffrey D. Ullman;Foto N. Afrati;4.932900
Jeffrey D. Ullman;Ronald Fagin;1.066400
Jeffrey D. Ullman;John E. Hopcroft;10.666500
Jeffrey D. Ullman;Rajeev Motwani;1.052100
Jeffrey D. Ullman;Mihalis Yannakakis;4.899800
Jeffrey D. Ullman;David Maier;7.632800
Jeffrey D. Ullman;Alberto O. Mendelzon;1.066300
Jeffrey D. Ullman;Walter L. Ruzzo;0.666600
Jeffrey D. Ullman;Moshe Y. Vardi;2.833000
Jyun-Sheng Chang;Chee-Keng Yap;2.333300
Jyun-Sheng Chang;Alok Aggarwal;0.333300
Andrea Vattani;Sergei Vassilvitskii;0.366600
Andrea Vattani;Deepayan Chakrabarti;0.333300
Andrea Vattani;Flavio Chierichetti;2.000000
Andrea Vattani;Ravi Kumar;0.366600
Andrea Vattani;Sanjoy Dasgupta;0.333300
Bo Wang;Jie Tang;0.366400
Bo Wang;Qiang Wang;0.499900
Kevin Knight;Regina Barzilay;0.333300
Kevin Knight;Bo Pang;0.333300
Kevin Knight;Sujith Ravi;8.933200
Kevin Knight;Daniel Marcu;5.842200
Kevin Knight;Pat Langley;0.333300
Baruch Awerbuch;Eli Gafni;0.733200
Baruch Awerbuch;Oded Goldreich;0.666500
Baruch Awerbuch;Nir Shavit;0.399900
Baruch Awerbuch;Robert Kleinberg;2.166600
Baruch Awerbuch;Yishay Mansour;2.966500
Baruch Awerbuch;Ronald L. Rivest;0.333200
Baruch Awerbuch;Frank Thomson Leighton;2.466400
Baruch Awerbuch;Lenore Cowen;1.332900
Baruch Awerbuch;Robert D. Kleinberg;2.333200
Baruch Awerbuch;David Peleg;9.365500
Baruch Awerbuch;Amotz Bar-Noy;0.999800
Baruch Awerbuch;Yair Bartal;2.566300
Baruch Awerbuch;Noga Alon;0.733200
Baruch Awerbuch;Adam Meyerson;0.333300
Baruch Awerbuch;Amir Herzberg;0.333300
Baruch Awerbuch;George Varghese;2.033200
Baruch Awerbuch;Tom Leighton;1.333200
Baruch Awerbuch;Bonnie Berger;0.999600
Baruch Awerbuch;Michael E. Saks;1.499800
Baruch Awerbuch;Mohammad Taghi Hajiaghayi;0.333200
Baruch Awerbuch;Stefano Leonardi;0.533200
Baruch Awerbuch;Leonard J. Schulman;2.000000
Baruch Awerbuch;Amos Fiat;2.533000
Baruch Awerbuch;Serge A. Plotkin;1.166300
Baruch Awerbuch;Silvio Micali;1.166600
Baruch Awerbuch;Niv Buchbinder;0.400000
Baruch Awerbuch;Avrim Blum;0.333200
Baruch Awerbuch;Joseph Naor;0.400000
Baruch Awerbuch;Yossi Azar;8.532200
Baruch Awerbuch;Paul M. B. Vitányi;2.166600
Baruch Awerbuch;Satish Rao;0.833200
Baruch Awerbuch;Nathan Linial;0.333200
Baruch Awerbuch;Santosh Vempala;0.333200
Baruch Awerbuch;Thomas P. Hayes;1.000000
Baruch Awerbuch;Andréa W. Richa;0.333300
Baruch Awerbuch;Mark R. Tuttle;0.699800
Baruch Awerbuch;Mona Singh;0.333200
Baruch Awerbuch;Christian Scheideler;12.833200
Baruch Awerbuch;Rafail Ostrovsky;1.000000
Baruch Awerbuch;Michael Sipser;1.000000
Micha Sharir;Subhash Suri;0.333200
Micha Sharir;Bernard Chazelle;3.822900
Micha Sharir;Amos Fiat;0.499900
Micha Sharir;Leonidas J. Guibas;6.212700
Micha Sharir;Pankaj K. Agarwal;35.507200
Micha Sharir;Elad Verbin;0.666500
Micha Sharir;Joseph S. B. Mitchell;2.466400
Micha Sharir;Chee-Keng Yap;1.333200
Micha Sharir;Vladlen Koltun;12.094800
Micha Sharir;Haim Kaplan;11.508300
Micha Sharir;Kurt Mehlhorn;0.666600
Micha Sharir;Matthew J. Katz;5.999600
Micha Sharir;Daniel P. Huttenlocher;0.666600
Micha Sharir;Sivan Toledo;2.499800
Micha Sharir;Noga Alon;0.633200
Micha Sharir;Klara Kedem;2.566400
Micha Sharir;Alon Efrat;7.499300
Micha Sharir;Dan Feldman;0.499900
Micha Sharir;Peter W. Shor;0.333300
Zhi-Zhong Chen;Xiaotie Deng;0.333300
Zhi-Zhong Chen;Christos H. Papadimitriou;1.333200
Zhi-Zhong Chen;Tao Jiang;1.247200
Zhi-Zhong Chen;Michelangelo Grigni;1.333200
Zhi-Zhong Chen;Ming-Yang Kao;3.999900
George Papageorgiou;Foto N. Afrati;1.899700
George Papageorgiou;Christos H. Papadimitriou;1.899700
Stephen Guattery;Gary L. Miller;2.666600
Stephen Guattery;Frank Thomson Leighton;0.333300
Heung-Yeung Shum;Martial Hebert;0.333200
Heung-Yeung Shum;Adam Kalai;0.666600
Heung-Yeung Shum;Steven M. Seitz;0.666600
Kirk Pruhs;Benjamin Moseley;1.866400
Kirk Pruhs;Clifford Stein;1.733200
Kirk Pruhs;Aaron Roth;0.499800
Kirk Pruhs;Alexandros Labrinidis;0.795000
Kirk Pruhs;Stefano Leonardi;0.666400
Kirk Pruhs;Vineet Bafna;0.333300
Kirk Pruhs;Christine Chung;0.928300
Kirk Pruhs;Sandy Irani;1.000000
Kirk Pruhs;Nikhil Bansal;10.799300
Kirk Pruhs;Anupam Gupta;1.599800
Kirk Pruhs;Katrina Ligett;0.499800
Kirk Pruhs;Ravishankar Krishnaswamy;1.599800
L. Paul Chew;Klara Kedem;7.566100
L. Paul Chew;Steven Fortune;1.000000
L. Paul Chew;Nikos Chrisochoides;0.666600
L. Paul Chew;Amit Weisman;0.333300
L. Paul Chew;Daniel P. Huttenlocher;0.666400
L. Paul Chew;Alon Efrat;0.333200
L. Paul Chew;Démian Nave;0.666600
L. Paul Chew;Dorit Dor;0.333200
L. Paul Chew;Robert L. (Scot) Drysdale III;1.000000
L. Paul Chew;Jon M. Kleinberg;0.466400
Huiming Qu;Deepayan Chakrabarti;0.333200
Huiming Qu;Christos Faloutsos;0.499800
Huiming Qu;Alexandros Labrinidis;2.166500
Huiming Qu;Jimeng Sun;0.666500
Huiming Qu;Hanghang Tong;0.499900
Ashu Jain;Amit Kumar;2.000000
Gregory Shakhnarovich;Yoram Baram;0.333300
Gregory Shakhnarovich;Nathan Srebro;0.333300
Gregory Shakhnarovich;Ran El-Yaniv;0.333300
Gregory Shakhnarovich;Piotr Indyk;0.333300
Paul Horn;Malik Magdon-Ismail;1.000000
Paul Horn;Pawel Pralat;0.533300
Paul Horn;Fan R. K. Chung;2.333200
Paul Horn;Alan M. Frieze;0.333300
Goran Gogic;Martha Sideri;0.999900
Goran Gogic;Christos H. Papadimitriou;1.166500
Carl Burch;Avrim Blum;2.833200
Carl Burch;Adam Kalai;0.333300
Carl Burch;John Langford;0.333300
Bonnie Berger;Michael Schnall-Levin;0.333300
Bonnie Berger;Baruch Awerbuch;0.999600
Bonnie Berger;Frank Thomson Leighton;2.833200
Bonnie Berger;Lenore Cowen;3.799500
Bonnie Berger;Jonathan King;0.466600
Bonnie Berger;Jadwiga R. Bienkowska;0.666600
Bonnie Berger;David Peleg;0.999600
Bonnie Berger;Raghavendra Hosur;0.833200
Bonnie Berger;Chung-Shou Liao;0.533300
Bonnie Berger;Leonid Chindelevitch;1.099900
Bonnie Berger;Vinay Pulim;0.666600
Bonnie Berger;Eric S. Lander;0.561800
Bonnie Berger;Phil Bradley;0.533300
Bonnie Berger;Matthew Menke;0.899900
Bonnie Berger;Michael Yu;0.333300
Bonnie Berger;Beckett Sterner;0.333300
Bonnie Berger;Peter Clote;0.499800
Bonnie Berger;Peter W. Shor;2.833200
Bonnie Berger;Jérôme Waldispühl;0.814000
Bonnie Berger;Serafim Batzoglou;0.361800
Bonnie Berger;Aviv Regev;0.333300
Bonnie Berger;Jon M. Kleinberg;0.666600
Bonnie Berger;Rohit Singh 0001;3.633100
Bonnie Berger;Peter S. Kim;0.333300
Bonnie Berger;David Sontag;0.333300
Bonnie Berger;Feng Jiao;0.999900
Bonnie Berger;David Bruce Wilson;1.000000
Bonnie Berger;John Rompel;3.666600
Bonnie Berger;Sebastian Will;0.399900
Bonnie Berger;Mona Singh;2.000000
Bonnie Berger;Jinbo Xu;2.999800
Bonnie Berger;Charles W. O'Donnell;0.314200
Bonnie Berger;Michael Baym;0.366600
Bonnie Berger;Srinivas Devadas;0.647400
Ron Lavi;Chaitanya Swamy;4.000000
Ron Lavi;Robert Kleinberg;0.333300
Ron Lavi;Sigal Oren;2.000000
Ron Lavi;Hu Fu;0.333300
Ron Lavi;Shahar Dobzinski;1.666500
Ron Lavi;Moshe Babaioff;1.433200
Ron Lavi;Ahuva Mu'alem;0.666600
S. Muthukrishnan;Mike Paterson;0.666500
S. Muthukrishnan;Mark Sandler;1.000000
S. Muthukrishnan;Khanh Do Ba;0.666600
S. Muthukrishnan;Vineet Bafna;0.333300
S. Muthukrishnan;Pankaj K. Agarwal;0.333300
S. Muthukrishnan;Yishay Mansour;1.266500
S. Muthukrishnan;Vahab S. Mirrokni;2.133000
S. Muthukrishnan;Yannis Kotidis;0.899600
S. Muthukrishnan;H. V. Jagadish;0.561700
S. Muthukrishnan;Amit Chakrabarti;0.666600
S. Muthukrishnan;Torsten Suel;2.899800
S. Muthukrishnan;Martin Pál;2.266100
S. Muthukrishnan;Michael W. Mahoney;1.499800
S. Muthukrishnan;Eyal Even-Dar;0.766600
S. Muthukrishnan;Erik Vee;0.333200
S. Muthukrishnan;T. S. Jayram;0.333200
S. Muthukrishnan;Jeffrey Scott Vitter;0.333300
S. Muthukrishnan;Funda Ergün;0.999900
S. Muthukrishnan;Nick Koudas;2.061300
S. Muthukrishnan;Gopal Pandurangan;2.000000
S. Muthukrishnan;Zoya Svitkina;1.299900
S. Muthukrishnan;Evdokia Nikolova;0.333200
S. Muthukrishnan;Stefano Leonardi;0.761800
S. Muthukrishnan;Piotr Indyk;1.166300
S. Muthukrishnan;Soumen Chakrabarti;1.333300
S. Muthukrishnan;Flip Korn;4.346700
S. Muthukrishnan;Johannes Gehrke;0.399800
S. Muthukrishnan;Andrew McGregor;1.333200
S. Muthukrishnan;Petros Drineas;1.499800
S. Muthukrishnan;Clifford Stein;0.633200
S. Muthukrishnan;Rajmohan Rajaraman;2.999800
S. Muthukrishnan;Sanjeev Khanna;0.666600
S. Muthukrishnan;Sudipto Guha;0.733200
S. Muthukrishnan;R. Ravi;0.333300
S. Muthukrishnan;Yair Bartal;1.000000
Gregory Valiant;Aviv Zohar;0.666400
Gregory Valiant;Ankur Moitra;2.666600
Gregory Valiant;Tim Roughgarden;2.666600
Gregory Valiant;Grant Schoenebeck;0.333200
Gregory Valiant;Georg Gottlob;0.499900
Gregory Valiant;Adam Tauman Kalai;0.666600
Gregory Valiant;Christos H. Papadimitriou;1.100000
Gregory Valiant;Michael Schapira;0.666400
Gregory Valiant;Paul Valiant;7.599800
Gregory Valiant;Constantinos Daskalakis;0.533200
Asher Walkover;Tim Roughgarden;0.333200
Asher Walkover;Henry C. Lin;0.333200
Asher Walkover;Éva Tardos;0.333200
Limor Lahiani;Shlomi Dolev;2.402100
Limor Lahiani;Nancy A. Lynch;0.366600
Limor Lahiani;Tina Nolte;0.366600
Jiawei Han;Jie Tang;0.480800
Jiawei Han;Qiang Wang;2.000000
Jiawei Han;Philip S. Yu;8.781200
Jiawei Han;Chi Wang;0.680600
Jiawei Han;Duo Zhang;0.814200
Jiawei Han;Chao Liu 0001;2.566500
Jiawei Han;Raymond T. Ng;3.666300
Aravind Srinivasan;Mike Paterson;1.499800
Aravind Srinivasan;Frank Thomson Leighton;0.499900
Aravind Srinivasan;C. Pandu Rangan;1.333300
Aravind Srinivasan;Jaikumar Radhakrishnan;1.200000
Aravind Srinivasan;Alessandro Panconesi;5.400000
Aravind Srinivasan;Noga Alon;2.000000
Aravind Srinivasan;Michael E. Saks;0.999800
Aravind Srinivasan;Leonard J. Schulman;0.333300
Aravind Srinivasan;Chaitanya Swamy;0.666600
Aravind Srinivasan;Madhav V. Marathe;1.932800
Aravind Srinivasan;Yi Li;0.999900
Aravind Srinivasan;Leslie Ann Goldberg;0.499800
Aravind Srinivasan;Satish Rao;0.499900
Aravind Srinivasan;Hadas Shachnai;2.000000
Aravind Srinivasan;Moni Naor;0.333300
Aravind Srinivasan;Bernhard Haeupler;0.999900
Aravind Srinivasan;Goran Konjevod;0.333300
Aravind Srinivasan;Azarakhsh Malekian;0.333300
Aravind Srinivasan;Éva Tardos;0.666600
